STAID,LOCAL,DATES,TIMES,MEDIM,STYPE,SAMPL,LABNO,HUNIT,GUNIT,PRJCT,LATDD,LNGDD,CNTYC,DATTD,DATTM,GUERA,GUNNM,GUSER,GUSYS,HDATM,SALTD,SNAME,VDATM,MAJRIVBAS,WELLUSE,WELLCOMPIN
424049076450101,SE1135,20121126,0902,WG,9,01300399,,041402011201,341GENS,,42.68013889,-76.75038889,099,201211260902 EST,201211260902,Paleozoic,Genesee Formation,Upper,Devonian,NAD83,660,SE1135,NGVD29,Central NY,Domestic,Bedrock
424049076450101,SE1135,20121126,0903,WG,9,01300400,,041402011201,341GENS,,42.68013889,-76.75038889,099,201211260903 EST,201211260903,Paleozoic,Genesee Formation,Upper,Devonian,NAD83,660,SE1135,NGVD29,Central NY,Domestic,Bedrock
422937076531401,SY 402,20070822,1100,WG,9,00702518,2360087,041402010803,112SDGV,2457LB32E,42.49368270,-76.88745944,097,200708221100 EST,200708221100,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,450,SY 402,NGVD29,Central NY,Production,Sand and Gravel
422937076531401,SY 402,20070822,1110,WG,9,00702557,2400132,041402010803,112SDGV,2457LB32E,42.49368270,-76.88745944,097,200708221110 EST,200708221110,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,450,SY 402,NGVD29,Central NY,Production,Sand and Gravel
422937076531401,SY 402,20121023,0800,WG,9,01300026,2990028,041402010803,112SDGV,GC12LK000,42.49368270,-76.88745944,097,201210230800 EST,201210230800,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,450,SY 402,NGVD29,Central NY,Production,Sand and Gravel
422937076531401,SY 402,20121023,0802,WG,9,01300394,,041402010803,112SDGV,,42.49368270,-76.88745944,097,201210230802 EST,201210230802,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,450,SY 402,NGVD29,Central NY,Production,Sand and Gravel
422937076531401,SY 402,20121023,0803,WG,9,01300395,,041402010803,112SDGV,,42.49368270,-76.88745944,097,201210230803 EST,201210230803,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,450,SY 402,NGVD29,Central NY,Production,Sand and Gravel
422445076501001,SY1064,20070823,1200,WG,9,00702640,2360089,041402010801,341SONY,2457LB32E,42.42333333,-76.81016667,097,200708231200 EST,200708231200,Paleozoic,Sonyea Formation,Upper,Devonian,NAD83,1150,SY1064,NGVD29,Central NY,Domestic,Bedrock
422445076501001,SY1064,20070823,1210,WG,9,00702641,2400135,041402010801,341SONY,2457LB32E,42.42333333,-76.81016667,097,200708231210 EST,200708231210,Paleozoic,Sonyea Formation,Upper,Devonian,NAD83,1150,SY1064,NGVD29,Central NY,Domestic,Bedrock
422624076425401,SY1480,20121107,0900,WG,9,01300319,3140009,041402011104,341DVNNU,GC12LK000,42.44175000,-76.71619444,097,201211070900 EST,201211070900,Paleozoic,"Devonian, Upper",Upper,Devonian,NAD83,1330,SY1480,NGVD29,Central NY,Domestic,Bedrock
422624076425401,SY1480,20121107,0902,WG,9,01300392,,041402011104,341DVNNU,,42.44175000,-76.71619444,097,201211070902 EST,201211070902,Paleozoic,"Devonian, Upper",Upper,Devonian,NAD83,1330,SY1480,NGVD29,Central NY,Domestic,Bedrock
422624076425401,SY1480,20121107,0903,WG,9,01300393,,041402011104,341DVNNU,,42.44175000,-76.71619444,097,201211070903 EST,201211070903,Paleozoic,"Devonian, Upper",Upper,Devonian,NAD83,1330,SY1480,NGVD29,Central NY,Domestic,Bedrock
423026076200901,TM 248,20121011,0800,WG,9,01300010,2860100,041402011004,110QRNR,GC12LK000,42.50711111,-76.33597222,109,201210110800 EST,201210110800,Cenozoic,Quaternary System,,Quaternary,NAD83,1098,TM 248,NGVD29,Central NY,Production,Bedrock
423026076200901,TM 248,20121011,0802,WG,9,01300396,,041402011004,110QRNR,,42.50711111,-76.33597222,109,201210110802 EST,201210110802,Cenozoic,Quaternary System,,Quaternary,NAD83,1098,TM 248,NGVD29,Central NY,Production,Bedrock
422116076285601,TM1018,20070816,0800,WG,9,00702502,2290120,041402011008,341SONY,2457LB32E,42.35438889,-76.48227778,109,200708160800 EST,200708160800,Paleozoic,Sonyea Formation,Upper,Devonian,NAD83,1216,TM1018,NGVD29,Central NY,Domestic,Bedrock
422116076285601,TM1018,20070816,0810,WG,9,00702504,2340062,041402011008,341SONY,2457LB32E,42.35438889,-76.48227778,109,200708160810 EST,200708160810,Paleozoic,Sonyea Formation,Upper,Devonian,NAD83,1216,TM1018,NGVD29,Central NY,Domestic,Bedrock
422120076361901,TM1620,20120830,0700,WG,9,01201760,2480002,041402011006,112SDGV,GC12LK000,42.35558333,-76.60522222,109,201208300700 EST,201208300700,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1111,TM1620,NAVD88,Central NY,Production,Sand and Gravel
422120076361901,TM1620,20120830,0702,WG,9,01202460,,041402011006,112SDGV,,42.35558333,-76.60522222,109,201208300702 EST,201208300702,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1111,TM1620,NAVD88,Central NY,Production,Sand and Gravel
422120076361901,TM1620,20120830,0703,WG,9,01202461,,041402011006,112SDGV,,42.35558333,-76.60522222,109,201208300703 EST,201208300703,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,1111,TM1620,NAVD88,Central NY,Production,Sand and Gravel
422345076251101,TM2355,20070816,1000,WG,9,00702508,2290122,041402011010,112SDGV,2457LB32E,42.39596111,-76.41968333,109,200708161000 EST,200708161000,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,829,TM2355,NGVD29,Central NY,Domestic,Sand and Gravel
422345076251101,TM2355,20070816,1010,WG,9,00702509,2340064,041402011010,112SDGV,2457LB32E,42.39596111,-76.41968333,109,200708161010 EST,200708161010,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,829,TM2355,NGVD29,Central NY,Domestic,Sand and Gravel
422585076369101,TM2448,20071217,0800,WG,9,00800519,3540328,041402011103,341DVNNU,2457LB32E,42.48080556,-76.61516667,109,200712170800 EST,200712170800,Paleozoic,"Devonian, Upper",Upper,Devonian,NAD83,1260,TM2448,NGVD29,Central NY,Domestic,Bedrock
422585076369101,TM2448,20071217,0810,WG,9,00800520,3540336,041402011103,341DVNNU,2457LB32E,42.48080556,-76.61516667,109,200712170810 EST,200712170810,Paleozoic,"Devonian, Upper",Upper,Devonian,NAD83,1260,TM2448,NGVD29,Central NY,Domestic,Bedrock
430647076552901,WN 560,20121203,1000,WG,9,01300179,3390062,041402011403,112SDGV,GC12LK000,43.11312023,-76.92440836,117,201212031000 EST,201212031000,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,400,WN 560,NGVD29,Central NY,Production,Sand and Gravel
430647076552901,WN 560,20121203,1001,WG,7,01300180,3390061,041402011403,112SDGV,GC12LK000,43.11312023,-76.92440836,117,201212031001 EST,201212031001,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,400,WN 560,NGVD29,Central NY,Production,Sand and Gravel
430647076552901,WN 560,20121203,1003,WG,9,01300422,,041402011403,112SDGV,,43.11312023,-76.92440836,117,201212031003 EST,201212031003,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,400,WN 560,NGVD29,Central NY,Production,Sand and Gravel
430647076552901,WN 560,20121203,1002,WG,9,01300447,,041402011403,112SDGV,,43.11312023,-76.92440836,117,201212031002 EST,201212031002,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD27,400,WN 560,NGVD29,Central NY,Production,Sand and Gravel
431020076533001,WN 593,20071031,0800,WG,9,00800257,3060059,041401010401,112SDGV,2457LB32E,43.17272222,-76.89263889,117,200710310800 EST,200710310800,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,380,WN 593,NAVD88,Central NY,Production,Sand and Gravel
431020076533001,WN 593,20071031,0810,WG,9,00800258,3060131,041401010401,112SDGV,2457LB32E,43.17272222,-76.89263889,117,200710310810 EST,200710310810,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,380,WN 593,NAVD88,Central NY,Production,Sand and Gravel
431020076533001,WN 593,20121114,1100,WG,9,01300175,3210046,041401010401,112SDGV,GC12LK000,43.17272222,-76.89263889,117,201211141100 EST,201211141100,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,380,WN 593,NAVD88,Central NY,Production,Sand and Gravel
431020076533001,WN 593,20121114,1102,WG,9,01300427,,041401010401,112SDGV,,43.17272222,-76.89263889,117,201211141102 EST,201211141102,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,380,WN 593,NAVD88,Central NY,Production,Sand and Gravel
431020076533001,WN 593,20121114,1103,WG,9,01300428,,041401010401,112SDGV,,43.17272222,-76.89263889,117,201211141103 EST,201211141103,Cenozoic,Sand and Gravel,Pleistocene,Quaternary,NAD83,380,WN 593,NAVD88,Central NY,Production,Sand and Gravel
431515077012401,WN 814,20070918,0900,WG,9,00703229,2630141,041401010502,357SLRNL,2457LB32E,43.25416667,-77.02325000,117,200709180900 EST,200709180900,Paleozoic,"Silurian, Lower",Lower,Silurian,NAD83,345,WN 814,NGVD29,Central NY,Domestic,Bedrock
431515077012401,WN 814,20070918,0910,WG,9,00703230,2630055,041401010502,357SLRNL,2457LB32E,43.25416667,-77.02325000,117,200709180910 EST,200709180910,Paleozoic,"Silurian, Lower",Lower,Silurian,NAD83,345,WN 814,NGVD29,Central NY,Domestic,Bedrock
430721077110001,WN 847,20071106,0800,WG,9,00800265,3130169,041402010502,BEDROCK,2457LB32E,43.12261111,-77.18344444,117,200711060800 EST,200711060800,,Bedrock,,,NAD83,487,WN 847,NAVD88,Central NY,Domestic,Bedrock
430721077110001,WN 847,20071106,0810,WG,9,00800266,3130109,041402010502,BEDROCK,2457LB32E,43.12261111,-77.18344444,117,200711060810 EST,200711060810,,Bedrock,,,NAD83,487,WN 847,NAVD88,Central NY,Domestic,Bedrock
